male,year,studylike,Grade,univ,dream,club,studytime,sleep,free,Cram,sptime
1,3,2,2,1,1,0,411,360,60,6,120
1,2,3,1,0,0,0,0,360,309,0,309
0,2,3,4,0,1,2,0,356,291,0,197
0,3,2,4,0,1,0,21,514,257,0,146
0,2,3,3,0,1,5,56,424,429,0,227
0,3,4,4,1,0,0,214,360,137,3,99
1,2,3,3,0,0,6,0,540,274,0,189
0,3,5,5,0,2,0,0,433,1011,0,429
0,3,3,3,1,2,0,39,351,171,0,197
0,3,4,3,0,2,0,49,356,163,0,116
0,2,4,5,1,0,0,0,471,446,1,429
1,2,5,5,0,0,0,0,377,377,0,274
0,2,3,1,1,1,1,77,437,471,0,249
0,2,3,2,0,0,0,69,420,120,0,120
0,2,4,5,1,2,6,0,377,197,1,257
1,3,5,5,0,2,0,9,420,300,0,137
0,2,3,3,1,2,2,0,394,300,0,231
0,3,4,5,0,0,0,0,330,471,0,471
0,2,3,2,1,0,3,77,377,386,0,214
0,2,3,2,0,1,5,17,291,480,0,309
0,3,5,3,0,2,1,0,480,300,0,197
0,2,4,2,0,0,0,0,403,369,0,437
1,2,4,3,0,1,6,0,386,420,0,317
1,3,5,5,1,2,0,129,283,360,3,377
1,2,5,5,1,1,0,0,366,600,1,266
1,2,3,3,0,0,0,0,369,309,0,257
0,2,4,5,1,0,2,19,351,566,0,231
0,2,4,5,0,2,5,77,377,77,0,99
1,2,4,3,1,1,6,99,484,171,0,197
1,3,5,5,0,0,0,0,300,883,0,686
1,2,2,4,1,0,0,60,360,180,0,120
0,3,2,3,1,2,0,386,270,94,6,120
0,3,2,2,1,1,0,171,429,926,2,240
0,2,4,3,1,1,5,77,420,111,0,154
0,2,3,2,0,0,3,0,433,231,0,231
1,3,3,2,1,1,0,47,416,206,1,154
1,2,5,3,1,0,7,0,480,236,0,133
0,2,5,4,0,2,7,9,360,193,0,274
0,2,4,3,1,0,1,77,416,266,0,154
0,2,4,4,1,0,6,9,300,180,0,116
0,2,5,4,1,2,0,30,343,291,0,266
0,2,3,4,0,2,6,39,454,154,0,197
1,3,3,4,1,0,0,214,437,137,4,137
0,2,5,5,0,0,0,0,343,120,0,120
1,2,2,2,1,0,5,17,459,600,0,506
1,2,5,5,1,1,6,39,407,523,0,249
1,2,3,5,1,1,3,77,480,214,0,94
0,3,4,5,1,0,0,274,394,189,7,154
0,3,3,3,0,2,0,17,471,540,0,300
1,2,5,2,1,1,2,77,180,754,0,613
1,3,5,5,0,1,0,0,326,840,0,840
0,2,3,3,1,1,3,154,416,107,2,120
1,2,4,4,0,1,5,11,394,540,1,254
0,3,1,3,1,2,0,334,420,711,4,214
0,3,3,5,1,1,6,386,1359,94,7,69
0,3,5,5,1,2,1,30,334,1440,0,369
0,3,4,3,1,2,0,39,441,463,1,231
1,2,5,2,0,2,0,0,360,180,0,360
0,3,2,3,1,2,0,60,429,463,0,210
1,2,5,5,0,2,7,30,377,189,0,274
0,2,3,3,0,2,0,0,399,351,0,214
0,2,4,4,0,1,5,54,394,411,0,133
1,2,3,5,0,1,6,39,360,60,0,274
0,2,3,3,1,2,1,107,377,214,0,137
0,3,5,5,1,2,0,0,471,420,0,180
0,3,5,4,0,1,2,60,506,291,0,300
0,3,3,2,1,2,0,274,394,214,2,197
1,2,1,1,1,2,0,180,420,300,0,309
1,2,4,4,1,0,6,47,377,167,3,137
1,3,3,3,1,1,7,39,377,386,0,257
1,2,3,2,1,1,6,60,399,266,0,300
0,2,4,3,0,2,5,26,373,60,0,103
1,2,4,4,0,2,4,19,369,549,0,411
1,2,4,2,0,0,3,0,360,489,0,159
1,2,3,3,1,0,6,39,420,214,0,214
1,2,4,5,1,0,5,39,420,317,2,283
1,2,3,3,0,0,0,0,309,1440,0,1440
1,3,5,5,0,2,0,60,377,386,0,309
1,3,3,3,1,1,0,214,360,454,3,137
1,3,4,2,0,1,0,0,394,471,2,180
0,2,5,3,0,0,5,17,450,171,0,77
1,2,5,3,1,1,0,0,446,969,0,429
1,3,5,5,1,0,0,441,321,497,7,300
0,2,3,2,0,1,6,60,437,300,0,420
1,3,4,3,0,2,4,343,394,257,2,257
0,2,5,5,0,2,7,39,300,111,0,77
0,3,3,2,0,1,1,0,351,309,0,334
0,2,4,5,1,1,6,60,386,386,0,257
0,3,4,4,1,2,0,47,394,249,0,154
0,3,3,3,1,0,0,386,334,1097,3,120
1,2,3,1,0,1,0,0,411,291,0,165
0,3,3,2,1,2,0,30,480,549,0,360
1,2,2,4,0,0,0,0,326,309,0,549
0,2,3,3,1,1,0,30,394,514,0,257
0,2,4,3,1,2,1,94,377,309,0,300
1,2,5,5,0,0,5,30,300,377,0,180
0,2,3,3,1,2,6,116,334,107,1,274
1,2,3,5,0,2,0,34,416,214,0,566
0,2,2,4,0,2,5,99,356,34,0,69
0,3,4,2,1,2,2,214,463,304,0,46
0,2,3,3,1,1,6,99,349,231,0,146
1,2,2,2,0,1,0,0,420,317,0,1440
1,2,1,1,1,1,0,137,514,583,1,429
1,2,5,4,0,0,0,0,394,386,0,137
1,3,5,5,0,2,6,0,416,411,0,180
1,2,1,1,1,1,5,189,390,360,0,54
0,3,5,5,1,1,0,0,476,343,0,309
1,2,4,4,1,0,6,60,420,600,0,300
1,2,2,2,1,1,6,116,317,351,0,77
1,3,1,1,0,2,0,0,163,840,0,231
1,2,5,4,0,0,1,0,540,1140,0,283
0,3,3,3,1,2,0,137,394,94,2,137
0,2,5,3,1,0,5,77,360,111,0,137
0,2,2,5,1,1,6,120,317,291,5,189
0,3,4,3,1,2,0,261,403,266,4,77
1,2,5,5,1,1,5,0,360,343,0,223
1,2,3,2,1,1,5,137,377,231,0,351
0,3,4,4,0,1,1,39,317,343,0,231
1,4,4,5,0,0,0,0,480,1440,0,840
1,3,3,2,0,2,2,0,480,60,0,60
1,3,5,5,0,2,0,0,411,377,0,394
0,2,5,3,1,0,6,0,343,214,0,137
1,3,5,4,1,0,0,180,240,300,0,120
1,2,3,3,1,0,2,60,514,300,0,77
0,3,4,3,0,2,0,0,180,240,0,214
0,2,3,5,1,2,7,34,300,90,0,180
0,2,3,3,1,2,5,171,497,86,1,176
1,2,4,4,1,0,6,17,420,317,0,257
0,2,5,3,0,1,7,0,471,283,0,283
1,2,4,3,1,0,0,77,377,249,0,171
0,2,2,5,1,2,5,60,480,137,0,137
1,2,3,3,1,0,5,60,437,291,0,249
1,3,1,1,1,1,0,480,317,0,0,77
